Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS chroom (VI) verbindingen			3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie verwacht
ZZS chroom (VI) verbindingen	calciumchromaat	13765-19-0	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chromyldichloride	14977-61-8	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom (VI)	18540-29-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom (VI) verbindingen		3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom(III)chromaat	24613-89-6	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroomtrioxide	1333-82-0	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroomzuur	7738-94-5	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	kaliumdichromaat	7778-50-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodchromaat	7758-97-6	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 c het op metaal aanbrengen van anorganische deklagen, conversielagen of deklagen van gesmolten metaal	Water	Emissie mogelijk
