Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS kwik en kwikverbindingen			3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie verwacht
ZZS kwik en kwikverbindingen	kwik	7439-97-6	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie verwacht
ZZS kwik en kwikverbindingen	tweewaardige anorganische kwikverbindingen		3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	anorganische kwikverbindingen		3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	organische kwikverbindingen		3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	methylkwik	22967-92-6	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	ammonium-kwikchloride	10124-48-8	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwikacetaat	62-38-4	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwikpropionaat	103-27-5	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwik-2-ethylhexanoaat	13302-00-6	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwikoctanoaat	13864-38-5	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwikneodecanoaat	26545-49-3	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwikhydroxide	100-57-2	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	fenylkwiknitraat	55-68-5	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	kalium-kwikcyanide	591-89-9	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	kalium-kwikjodide	7783-33-7	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
ZZS kwik en kwikverbindingen	kwik(I)nitraat	10415-75-5	3.3 Complexe bedrijven	3.3.10 Afvalbeheer ippc-installaties	3.3.10 b het verwijderen of nuttig toepassen van ongevaarlijke afvalstoffen	Water	Emissie mogelijk
