Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
Individuele stoffen	formaldehyde	50-00-0	3.6 Agrarische sector			Water	Gebruik verwacht
ZZS chroom (VI) verbindingen			3.6 Agrarische sector			Water	Emissie verwacht
ZZS chroom (VI) verbindingen	calciumchromaat	13765-19-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chromyldichloride	14977-61-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom (VI)	18540-29-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom (VI) verbindingen		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom(III)chromaat	24613-89-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroomtrioxide	1333-82-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroomzuur	7738-94-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	kaliumdichromaat	7778-50-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodchromaat	7758-97-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	strontiumchromaat	7789-06-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	tert-butylchromaat	1189-85-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	zinkchromaat	13530-65-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodsulfochromaat	1344-37-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodchromaatmolybdaatsulfaat	12656-85-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	dichroomzuur	13530-68-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	natriumdichromaat	10588-01-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	ammoniumdichromaat	7789-09-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	kaliumchromaat	7789-00-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	natriumchromaat	7775-11-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	nikkelchromaat	14721-18-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	pentazinkchromaatoctahydroxide	49663-84-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	zinkkaliumchromaat	11103-86-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	nikkeldichromaat	15586-38-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	natrium dichromaat dihydraat	7789-12-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	uit chroomtrioxide gevormde zuren en oligomeren daarvan		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	ammoniumchromaat	7788-98-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	4-(dimethylamino)pyridinium chloorchromaat	81121-61-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	diloodchromaatoxide	18454-12-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	rubidium chromaat	13446-72-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	oligomeren van chroomzuur en dichroomzuur		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen			3.6 Agrarische sector			Water	Emissie verwacht
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,3-trichloorbenzeen	87-61-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,3-trichloorpropaan	96-18-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,4-trichloorbenzeen	120-82-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dibroomethaan	106-93-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dichloorethaan	107-06-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dichloorpropaan	78-87-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,3,5-tribroom-2-(2,3-dibroom-2-methylpropoxy)benzeen	36065-30-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,3,5-trichloorbenzeen	108-70-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	(pentabroomfenyl)methylacrylaat	59447-55-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	alfa-hexachloorcyclohexaan	319-84-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	beta-hexachloorcyclohexaan	319-85-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	C10-13-chlooralkanen 	85535-84-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chloorfenvinfos	470-90-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chloropreen	126-99-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	delta-hexachloorcyclohexaan	319-86-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dibroom-3-chloorpropaan	96-12-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	eta-hexachloorcyclohexaan	6108-12-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gamma-hexachloorcyclohexaan	58-89-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	heptachloorepoxide	1024-57-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	hexabroombifenyl	36355-01-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	hexachloorbenzeen	118-74-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	hexachloorbutadieen	87-68-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	hexachloorcyclohexaan	608-73-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	hexachloorcyclopentadieen	77-47-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	monomethyldibroomdifenylmethaan	99688-47-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	monomethyltetrachloordifenylmethaan	76253-60-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	monomethyldichloordifenylmethaan		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	octabroomdifenylether	32536-52-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	pentabroomdifenylether	32534-81-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	pentabroomethylbenzeen	85-22-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	pentachloorethaan	76-01-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	pentachloorfenol	87-86-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	tetrabroombisfenol A	79-94-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	trichlooretheen	79-01-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	vinylbromide	593-60-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	vinylchloride	75-01-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	dibroomnitrilopropiamide	10222-01-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	decabroombifenyl	13654-09-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	alfa-hexabroomcyclododecaan	134237-50-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	beta-hexabroomcyclododecaan	134237-51-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gamma-hexabroomcyclododecaan	134237-52-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	tris(2-chloorethyl)fosfaat	115-96-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1-broompropaan	106-94-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chloor-N,N-dimethylformiminiumchloride	3724-43-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	(2-chloorethyl)(3-hydroxypropyl)ammoniumchloride	40722-80-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	(R)-1-chloor-2,3-epoxypropaan	51594-55-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2-broompropaan	75-26-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,4-dichloorbut-2-een	764-41-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2,3-dibroompropaan-1-ol	96-13-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	bis(pentabroomfenyl)ether	1163-19-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	heptabroomdifenylether	68928-80-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	heptabroomdifenylether	446255-22-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2,2',3,4,4',5',6-heptabroomdifenylether	207122-16-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	hexabroomdifenylether	36483-60-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2,2',4,4',5,5'-hexabroomdifenylether	68631-49-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2,2',4,4',5,6'-hexabroomdifenylether	207122-15-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2,2',4,4',5-pentabroomdifenylether	60348-60-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	2,2',4,4'-tetrabroomdifenylether	5436-43-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	tetrabroomdifenylether	40088-47-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,5,6,9,10-hexabroomcyclododecaan	3194-55-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,3,5,7,9,11-hexabroomcyclododecaan	25637-99-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gebromeerde difenylethers		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,3-dichloor-2-propanol	96-23-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chloordimethylether	107-30-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	bis(chloormethyl)ether	542-88-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	Dechloraan Plus	13560-89-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	C14-17-chlooralkanen	85535-85-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	anti-dodecachloorpentacyclooctadecadieen	135821-74-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	syn-dodecachloorpentacyclooctadecadieen	135821-03-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,1'-[ethaan-1,2-diylbisoxy]bis[2,4,6-tribroombenzeen]	37853-59-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gechloreerde paraffines van middellange keten 		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gechloreerde alkanen, C14-C16	1372804-76-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	di-, tri- en tetrachloortetradecaan		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	tetradecaan, chloorderivaten	198840-65-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen	61788-76-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C6-18	68920-70-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C10-21	84082-38-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C10-26	97659-46-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C10-32	84776-06-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C12-14	85536-22-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	C16-27-chlooralkanen	84776-07-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	C16-36-chlooralkanen	85049-26-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gechloreerde paraffine-oliën	85422-92-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	gechloreerde aardolie paraffines, normaal C>10	97553-43-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C10-12	108171-26-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C10-14	85681-73-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	chlooralkanen, C12-13	71011-12-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers			3.6 Agrarische sector			Water	Emissie verwacht
ZZS glycol ethers	2-ethoxyethanol	110-80-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	2-ethoxyethylacetaat	111-15-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	2-methoxyethanol	109-86-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	2-methoxyethylacetaat	110-49-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	2-methoxypropanol	1589-47-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	methoxyazijnzuur	625-45-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	1,2-dimethoxyethaan	110-71-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	ethyleenglycoldimethylether	111-96-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	triglyme	112-49-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	etacelasil	37894-46-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	1,2-diethoxyethaan	629-14-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	2-methoxypropylacetaat	70657-70-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS glycol ethers	traethyleenglycoldimethylether	143-24-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen			3.6 Agrarische sector			Water	Emissie verwacht
ZZS organotinverbindingen	azocyclotin	41083-11-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	cyhexatin	13121-70-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltinwaterstofboraat	75113-37-0	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltinhydride	1002-53-5	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltindichloride	683-18-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltinoxide	818-08-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	fenbutatin	13356-08-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	trifenyltinhydroxide	76-87-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	tetrabutyltin	1461-25-2	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	tributyl(vinyl)tin	7486-35-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	tributyltin	688-73-3	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	tributyltin-kation	36643-28-4	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	tributyltinoxide	56-35-9	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	trifenyltin	892-20-6	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	trifenyltinacetaat	900-95-8	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	trifenyltinchloride	639-58-7	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoaat	15571-58-1	3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	organische tinverbindingen		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	tributyltin verbindingen		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	mengsel van 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoaat en 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoaat (mengsel van DOTE en MOTE)		3.6 Agrarische sector			Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltindilauraat	77-58-7	3.6 Agrarische sector			Water	Emissie mogelijk
