Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS glycol ethers			3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie verwacht
ZZS glycol ethers	2-ethoxyethanol	110-80-5	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	2-ethoxyethylacetaat	111-15-9	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	2-methoxyethanol	109-86-4	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	2-methoxyethylacetaat	110-49-6	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	2-methoxypropanol	1589-47-5	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	methoxyazijnzuur	625-45-6	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	1,2-dimethoxyethaan	110-71-4	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	ethyleenglycoldimethylether	111-96-6	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	triglyme	112-49-2	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	etacelasil	37894-46-5	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	1,2-diethoxyethaan	629-14-1	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	2-methoxypropylacetaat	70657-70-4	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS glycol ethers	traethyleenglycoldimethylether	143-24-8	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen			3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie verwacht
ZZS organotinverbindingen	azocyclotin	41083-11-8	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	cyhexatin	13121-70-5	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltinwaterstofboraat	75113-37-0	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltinhydride	1002-53-5	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltindichloride	683-18-1	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	dibutyltinoxide	818-08-6	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	fenbutatin	13356-08-6	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	trifenyltinhydroxide	76-87-9	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	tetrabutyltin	1461-25-2	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
ZZS organotinverbindingen	tributyl(vinyl)tin	7486-35-3	3.6 Agrarische sector	3.6.2 Glastuinbouwbedrijf		Water	Emissie mogelijk
