Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS aardoliederivaten			3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie verwacht
ZZS aardoliederivaten	Benzol-wasolie, destillaat, Een complexe verzameling koolwaterstoffen die wordt verkregen als een herdestillaat uit de destillatie van spoelolie. Bestaat voornamelijk uit aromatische en heterocyclische koolwaterstoffen met twee ringen en heeft een kooktraject van ongeveer 260°C tot 290°C. absorptieoliën bicyclo-aromatische en heterocyclische koolwaterstoffractie	101316-45-4	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Alkanen C1-2-, Petroleumgas	68475-57-0	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	alkanen C12-26-vertakte en niet-vertakte	90622-53-0	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Alkanen C1-4, rijk aan C3, Petroleumgas	90622-55-2	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Alkanen C2-3-, Petroleumgas	68475-58-1	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Alkanen C3-4-, Petroleumgas	68475-59-2	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Alkanen C4-5-, Petroleumgas	68475-60-5	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C6-10-, met zuur behandeld geneutraliseerd Nafta met laag kookpunt - niet gespecifieerd	68131-49-7	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C6-10, rijk aan C8, Lichte olie, herdestillaat, laagkokende fractie	90989-41-6	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C6-8-, afkomstig van pyrolysaat van nafta-raffinaat, Een complexe verzameling koolwaterstoffen verkregen door pyrolysefractionering bij 816°C van nafta en raffinaat. Bestaat voornamelijk uit aromatische koolwaterstoffen overwegend C6 tot en met C8, inclusief benzeen. Thermisch gekraakte nafta met laag kookpunt	68475-70-7	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C7-12-, rijk aan C8, Een complexe verzameling koolwaterstoffen verkregen door afscheiding van de platformate-houdende fractie. Bestaat voornamelijk uit aromatische koolwaterstoffen overwegend C7 tot en met C12 (hoofdzakelijk C8) en kan niet-aromatische koolwaterstoffen bevatten beide met een kooktraject van ongeveer 130°C tot 200°C. Katalytisch gereformde nafta met laag kookpunt	93571-75-6	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C7-8-, dealkyleringsproducten destillatieresiduen Nafta met laag kookpunt - niet gespecifieerd	90989-42-7	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C8-, afkomstig uit katalytische reforming, Katalytisch gereformde nafta met laag kookpunt	91995-18-5	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C8-, Lichte olie, herdestillaat, hoogkokende fractie	90989-38-1	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C8-10, Nafta met laag kookpunt - niet gespecifieerd	90989-39-2	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C8-9, bijproduct koolwaterstofhars-polymerisatie, Een complexe verzameling koolwaterstoffen die wordt verkregen door de verdamping onder vacuüm van oplosmiddel uit gepolymeriseerde koolwaterstofhars. Bestaat voornamelijk uit aromatische koolwaterstoffen overwegend C8 en C9, met een kooktraject van ongeveer 120°C tot 215°C. Lichte olie, herdestillaat, hoogkokende fractie	91995-20-9	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Aromatische koolwaterstoffen C9-12, benzeendestillatie, Lichte olie, herdestillaat, hoogkokende fractie	92062-36-7	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen geproduceerd als de residu-fractie van de destillatie van produkten uit een katalytisch kraakproces. Bestaat uit koolwaterstoffen overwegend groter dan C20, kokend boven ongeveer 350°C. Deze stroom bevat waarschijnlijk 5 of meer gewichtsprocenten aromatische koolwaterstoffen met 4- tot 6-voudig gecondenseerde ringen. Stookolie, geklaarde oliën (aardolie), katalytisch gekraakt	64741-62-4	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen verkregen door de behandeling van katalytisch gekraakte geklaarde olie met waterstof, om organisch zwavel om te zetten in waterstofsulfide dat verwijderd wordt. Bestaat uit koolwaterstoffen overwegend groter dan C20, die koken boven ongeveer 350°C. Deze stroom bevat waarschijnlijk 5 of meer gewichtsprocenten aromatische koolwaterstoffen samengesteld uit 4- tot 6-voudig gecondenseerde ringen. Stookolie, geklaarde oliën (aardolie), met waterstof ontzwavelde katalytisch gekraakte	68333-26-6	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Destillaten Het destillaat van een mengsel van koolteer en aromatische aardoliestromen met een destillatietraject van ongeveer 220°C tot 450°C. Voornamelijk samengesteld uit aromatiche koolwaterstoffen met drie of vier gecondenseerde ringen. destillaten (kool-aardolie), gecondenseerde ringen-aromatisch	68188-48-7	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen die wordt verkregen uit de destillatie van een katalytisch gereformeerde aardoliefractie. Bestaat voornamelijk uit aromatische koolwaterstoffen overwegend C10 tot en met C16, met een kooktraject van ongeveer 200°C tot 300°C. Gasolie - niet gespecifieerd destillaten (aardolie), katalytische reformator, concentraat van zware aromaten	91995-34-5	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen verkregen als raffinaat uit een zwavelzuurbehandelingsproces. Bestaat uit koolwaterstoffen overwegend C20 tot en met C50, en vormt een voltooide olie met een viscositeit van minstens 19 cSt bij 40°C. Bevat relatief weinig normale paraffinen. Niet of licht geraffineerde basisolie, destillaten (aardolie), met zuur behandelde zware nafteenhoudende fractie	64742-18-3	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen die wordt verkregen als het raffinaat uit een zwavelzuurbehandelingsproces. Bestaat voornamelijk uit aromatische koolwaterstoffen overwegend C20 tot en met C50, en vormt een voltooide olie met een viscositeit die minstens 19 cSt is bij 40°C. Niet of licht geraffineerde basisolie, destillaten (aardolie), zuurbehandelde zware paraffinehoudende	64742-20-7	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen die wordt verkregen als het raffinaat uit een zwavelzuurbehandelingsproces. Bestaat uit koolwaterstoffen overwegend C15 tot en met C30, en vormt een voltooide olie met een viscositeit die kleiner is dan 19 cSt bij 40°C. Bevat relatief weinig normale paraffinen. Niet of licht geraffineerde basisolie, destillaten (aardolie), zuurbehandelde lichte nafteenhoudende	64742-19-4	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen die wordt verkregen als het raffinaat uit een zwavelzuurbehandelingsproces. Bestaat voornamelijk uit aromatische koolwaterstoffen overwegend C15 tot en met C30, en vormt een voltooide olie met een viscositeit die kleiner is dan 19 cSt bij 40°C. Niet of licht geraffineerde basisolie, destillaten (aardolie), zuurbehandelde lichte paraffinehoudende	64742-21-8	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen verkregen als het raffinaat uit een zwavelzuurbehandelingsproces. Bestaat uit koolwaterstoffen overwegend C9 tot en met C16, met een kooktraject van ongeveer 150°C tot 290°C. Gasolie - niet gespecifieerd destillaten (aardolie), met zuur behandelde lichte fractie	64742-14-9	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
ZZS aardoliederivaten	Een complexe verzameling koolwaterstoffen verkregen als het raffinaat uit een zwavelzuurbehandelingsproces. Bestaat uit koolwaterstoffen overwegend C11 tot en met C20, met een kooktraject van ongeveer 205°C tot 345°C. Gasolie - niet gespecifieerd destillaten (aardolie), met zuur behandelde middenfractie	64742-13-8	3.8 Transport, logistiek en ondersteuning daarvan	3.8.3 Bunkerstations en andere tankplaatsen voor schepen		Water	Emissie mogelijk
