Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS gechloreerde en gebromeerde koolwaterstoffen			3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie verwacht
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,3-trichloorbenzeen	87-61-6	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,3-trichloorpropaan	96-18-4	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2,4-trichloorbenzeen	120-82-1	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dibroomethaan	106-93-4	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dichloorethaan	107-06-2	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,2-dichloorpropaan	78-87-5	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,3,5-tribroom-2-(2,3-dibroom-2-methylpropoxy)benzeen	36065-30-2	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	1,3,5-trichloorbenzeen	108-70-3	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
ZZS gechloreerde en gebromeerde koolwaterstoffen	(pentabroomfenyl)methylacrylaat	59447-55-1	3.3 Complexe bedrijven	3.3.11 Kadavers of dierlijk afval		Water	Emissie mogelijk
